Title,Year,DOI,Abstract,Data Category,Data Type,Broad_Data_Category,Model Used,Broad_Model_Category,Sample Size,Data Source,Study Population Details,True N Verification,Broad Validation Approach,Validation Approach,Their Limitations,Research Result,Our Critical Analysis,Inclusion/Exclusion Decision,Reasoning,Broad_Reasoning_Category,Further Exclusion based on sample size,ACM,Where was the study done,Column1,"Further Exclusion based on sufficient methodological detail and evaluation evidence eg, very short paper",Studies with Potential Data Leakage (Non-Subject-Independent)?,_leakage_detail,_source_db,_pub_title,score,score_reasons,DOI_clean,Title_clean,title_exclude,autism_primary
Redefining parameter-efficiency in ADHD diagnosis: A lightweight attention-driven kolmogorov-arnold network with reduced parameter complexity and a novel activation function,2025,10.1016/j.pscychresns.2025.112016,"As deep learning continues to advance in medical analysis, the increasing complexity of models, particularly Convolutional Neural Networks (CNNs), presents significant challenges related to interpretability, computational costs, and real-world applicability. These issues are critical in the medical domain, e.g., Attention Deficit Hyperactivity Disorder (ADHD) diagnosis, where model efficiency and interpretability are paramount. This paper proposes a novel parameter-efficient framework based on the Kolmogorov-Arnold Network (KAN) to overcome these challenges. Unlike CNNs, KAN restructures feature transformations, significantly reducing parameter overhead while preserving high classification accuracy. An attention-driven feature selection mechanism dynamically prioritizes the most significant features, minimizing irrelevant features and unnecessary computational load. Recognizing the complex and diverse nature of ADHD- related brain connectivity features, a novel activation function with learnable coefficients is introduced, enabling adaptive transformation based on specific data patterns. To further enhance model generalization, an advanced sliding window-based data augmentation technique is incorporated to meet substantial data requirements for training. Extensive experimentation on the benchmark ADHD-200 dataset demonstrates the model's superiority, achieving an accuracy of 79.25 %, an F1-score of 78. 75 % and a precision of 78.23 %, surpassing many state-of-the-art ADHD studies. Remarkably, these results are achieved using only a few thousand parameters compared to the millions required by many existing approaches, making it valuable for various resource-constrained researchers and organizations. The proposed framework, seamlessly fusing KAN, attention-driven feature selection, adaptive activation, and robust data augmentation, achieves substantial parameter reduction with enhanced performance. This lightweight architecture, combined with superior performance and interpretability, makes the proposed model highly promising for ADHD diagnosis and other complex medical applications. © 2025 Elsevier B.V.",Multimodal,Multimodal,Multimodal,CNN/ConvNet; GAN; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Possible,Medium Risk - verify,Scopus,,11,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Reports 3 metrics; Detailed abstract,10.1016/j.pscychresns.2025.112016,redefining parameter-efficiency in adhd diagnosis: a lightweight attention-driven kolmogorov-arnold network with reduced parameter complexity and a novel activation function,False,False
Disrupted structural connectivity-gray matter covariance coupling and associated cytoarchitectural and transcriptomic profiles in attention-deficit/hyperactivity disorder,2025,10.1016/j.neuroimage.2025.121402,"Background: Attention-deficit/hyperactivity disorder (ADHD) has been associated with disrupted axonal connectivity (termed structural connectivity, SC) and altered interregional coupling of gray matter morphometry (termed gray matter covariance, GMC). However, the relationship between SC and GMC in ADHD remains understudied. Methods: We investigated this relationship by quantifying the coupling between SC and GMC using neuroimaging data from 109 children with ADHD (aged 10.8 +/- 2.3) and 105 typically developing controls (aged 11.2 +/- 2.4) comparable for age and sex. Publicly accessible cytoarchitectural and transcriptomic datasets were employed to characterize the cellular and molecular correlates of ADHD-related SC-GMC coupling differences, and a machine learning pipeline was used to investigate its potential in classifying children with ADHD. Results: Children with ADHD showed aberrant SC-GMC coupling patterns in the right putamen, left hippocampus, and ventral attention network compared to controls. Their abnormal SC-GMC coupling patterns were correlated with sensory-fugal gradient of cytohistological variation and spatially associated with gene expression enriched for neurodevelopment-related biological pathways, including neuron projection development. The classification model based on SC-GMC couplings achieved an area under the receiver operating characteristic curve (AUC) value of 0.67. Conclusions: Our findings provide novel insights into atypical couplings between brain gray and white matter structural connectomes in ADHD, their histological and transcriptional correlates, and prospects of using these data to expand clinical phenotyping.",Genetic,Genetic Data,Biological,Not specified,Not specified,109,Not specified,"Children, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=109,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,11,Adequate n=109; Validation described; Journal/indexed source; Detailed abstract,10.1016/j.neuroimage.2025.121402,disrupted structural connectivity-gray matter covariance coupling and associated cytoarchitectural and transcriptomic profiles in attention-deficit/hyperactivity disorder,False,False
Comprehensive Analysis of Attention Deficit/Hyperactivity Disorder using Machine Learning and Deep Learning Algorithms,2025,10.1109/ICISCN64258.2025.10934544,"Attention deficit/hyperactivity disorder (ADHD) is a neurodevelopmental disorder that affects children from childhood to adulthood. The symptoms of ADHD include attention deficit, impulsive behaviour, hyperactivity, and early diagnosis and treatment are imperative, especially for children as it continues into adulthood. ADHD detection is generally carried out using the existing methods such as Machine Learning (ML) and Deep Learning (DL) methods. The ML methods such as Linear Support Vector Machine (SVM), K-Nearest Neighbors (KNN), Linear Discriminative Analysis (LDA), Linear Regression (LR), Random Forest (RF), and Least Square SVM (LS-SVM) are used for the detection and analysis of ADHD. The existing DL methods such as Deep Convolutional Neural Network (DCNN), Graph Recurrent Unit (GRU), Convolutional Long Short-Term Memory (ConvLSTM), and Bidirectional LSTM are also employed for the detection of ADHD. The ML and DL algorithms enhance ADHD detection and diagnosis by automatically determining large patterns in data, thereby offering higher accuracy. The performance of the existing techniques is evaluated in terms of evaluation metrics: accuracy, precision, sensitivity, and F1-score to assess their effectiveness.  © 2025 IEEE.",Genetic,Genetic Data,Biological,CNN/ConvNet; LSTM; GRU; Deep Neural Network; SVM; Random Forest; KNN; Linear Discriminant Analysis,Deep Learning + Machine Learning,Not reported,Not specified,"Children, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,11,Validation described; Journal/indexed source; Reports 4 metrics; Detailed abstract,10.1109/iciscn64258.2025.10934544,comprehensive analysis of attention deficit/hyperactivity disorder using machine learning and deep learning algorithms,False,False
Improved ADHD Diagnosis Using EEG Connectivity and Deep Learning through Combining Pearson Correlation Coefficient and Phase-Locking Value,2024,10.1007/s12021-024-09685-3,"Attention Deficit Hyperactivity Disorder (ADHD) is a widespread neurobehavioral disorder affecting children and adolescents, requiring early detection for effective treatment. EEG connectivity measures can reveal the interdependencies between EEG recordings, highlighting brain network patterns and functional behavior that improve diagnostic accuracy. This study introduces a novel ADHD diagnostic method by combining linear and nonlinear brain connectivity maps with an attention-based convolutional neural network (Att-CNN). Pearson Correlation Coefficient (PCC) and Phase-Locking Value (PLV) are used to create fused connectivity maps (FCMs) from various EEG frequency subbands, which are then inputted into the Att-CNN. The attention module is strategically placed after the latest convolutional layer in the CNN. The performance of different optimizers (Adam and SGD) and learning rates are assessed. The suggested model obtained 98.88%, 98.41%, 98.19%, and 98.30% for accuracy, precision, recall, and F1 Score, respectively, using the SGD optimizer in the FCM of the theta band with a learning rate of 1e-1. With the use of FCM, Att-CNN, and advanced optimizers, the proposed technique has the potential to produce trustworthy instruments for the early diagnosis of ADHD, greatly enhancing both patient outcomes and diagnostic accuracy. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",EEG,EEG Signal,Neurophysiological,CNN/ConvNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,Not specified,"Children, Adolescents",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,11,Validation described; Journal/indexed source; Reports 4 metrics; Detailed abstract,10.1007/s12021-024-09685-3,improved adhd diagnosis using eeg connectivity and deep learning through combining pearson correlation coefficient and phase-locking value,False,False
"Examining AI-Powered ADHD Diagnosis: Current Trends, Key Challenges, and Future Directions in the Field",2025,10.1109/ACCESS.2025.3567427,"Attention deficit hyperactivity disorder (ADHD) is a type of neurodevelopmental disease affecting the mental health of children and adults. Individuals with ADHD show various symptoms such as inattention, hyperactivity, and impulsivity. Early diagnosis of ADHD helps to alter neural connections and refine symptoms. The clinical practice to diagnose ADHD is through subjective measures and does not significantly capture the underlying structural and functional mechanisms of the brain. Therefore, it is crucial to explore other approaches such as Artificial Intelligence (AI) to improve the accuracy and efficacy of ADHD diagnosis. Consequently, in this article we systematically investigate various Machine Learning (ML) and Deep Learning (DL) approaches as well as different diagnostic tools or modalities employed for the identification of ADHD. Particularly, a Systematic Literature Review (SLR) is conducted to review and analyze 98 selected studies published from 2021 to 2024. Subsequently, the selected studies are grouped into five categories based on the modalities utilized in these studies: physiological signals (37), magnetic resonance imaging (31), questionnaires (11), motion data (8), and others (11). We also analyze AI models which indicates that 45 studies utilized ML models, 33 studies employed DL models, and 20 studies used both. However, there are still some gaps in current research such as a lack of publicly available datasets except MRI and EEG. Although datasets for MEG and actigraphy exist, but they are underexplored and have been utilized in only a few studies. While DL models like CNNs and ANNs have been increasingly applied in recent years for ADHD diagnosis, there is a shortage of advanced DL models, including transfer learning approaches like ResNet and VGG. Additionally, there is a lack of interpretability in AI models, particularly DL models. Furthermore, most studies focus on individual modalities for ADHD diagnosis, and despite many studies showing excellent results, there is a lack of implementation of AI-based tools in real-world clinical settings. These gaps highlight areas for further exploration and development.",MRI,Neuroimaging (MRI),Neuroimaging,CNN/ConvNet; ResNet/VGG/DenseNet; Deep Neural Network,Deep Learning,Not reported,Not specified,"Children, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Pakistan,,Adequate: 30 pages,Unknown,Not clearly stated,IEEE Journals,IEEE Access,11,Validation described; Journal/indexed source; Detailed abstract; 30-page paper,10.1109/access.2025.3567427,"examining ai-powered adhd diagnosis: current trends, key challenges, and future directions in the field",False,False
Neuronal Correlates of Task Irrelevant Distractions Enhance the Detection of Attention Deficit/Hyperactivity Disorder,2023,10.1109/TNSRE.2023.3241649,"Early diagnosis and treatment can reduce the symptoms of Attention Deficit/Hyperactivity Disorder (ADHD) in children, but medical diagnosis is usually delayed. Hence, it is important to increase the efficiency of early diagnosis. Previous studies used behavioral and neuronal data during GO/NOGO task to help detect ADHD and the accuracy differed considerably from 53% to 92%, depending on the employed methods and the number of electroencephalogram (EEG) channels. It remains unclear whether data from a few EEG channels can still lead to a good accuracy of detecting ADHD. Here, we hypothesize that introducing distractions into a VR-based GO/NOGO task can augment the detection of ADHD using 6-channel EEG because children with ADHD are easily distracted. Forty-nine ADHD children and 32 typically developing children were recruited. We use a clinically applicable system with EEG to record data. Statistical analysis and machine learning methods were employed to analyze the data. The behavioral results revealed significant differences in task performance when there are distractions. The presence of distractions leads to EEG changes in both groups, indicating immaturity in inhibitory control. Importantly, the distractions additionally enhanced the between-group differences in NOGO  $\alpha $  and  $\gamma $  power, reflecting insufficient inhibition in different neural networks for distraction suppression in the ADHD group. Machine learning methods further confirmed that distractions enhance the detection of ADHD with an accuracy of 85.45%. In conclusion, this system can assist in fast screenings for ADHD and the findings of neuronal correlates of distractions can help design therapeutic strategies.",EEG,EEG Signal,Neurophysiological,Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,Own/Private dataset,"Children, ADHD vs Control",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Taiwan,,Adequate: 9 pages,Unknown,Not clearly stated,IEEE Journals,IEEE Transactions on Neural Systems and Rehabilitation Engineering,11,Validation described; Journal/indexed source; Detailed abstract; 9-page paper,10.1109/tnsre.2023.3241649,neuronal correlates of task irrelevant distractions enhance the detection of attention deficit/hyperactivity disorder,False,False
Deep Variational Autoencoder for Mapping Functional Brain Networks,2021,10.1109/TCDS.2020.3025137,"In the neuroimaging and brain mapping communities, researchers have proposed a variety of computational methods to map functional brain networks (FBNs). Recently, it has been proven that deep learning (DL) can be applied on functional magnetic resonance image (fMRI) data with superb representation power over the traditional machine learning methods. However, due to the lack of labeled data and the high dimension of fMRI volume images, DL suffers from overfitting in both supervised and unsupervised training processes. In this work, we proposed a novel generative model: deep variational autoencoder (DVAE) to tackle the challenge of insufficient data and incomplete supervision. The experimental results showed that the representations learned by DVAE are interpretable and meaningful compared to those learned from well-known sparse dictionary learning (SDL). Besides, the organization of some FBN patterns derived from different layers in DVAE was observed in a hierarchical fashion. Furthermore, we showed that DVAE has better performance on small dataset over autoencoder (AE). By using attention deficit hyperactivity disorder (ADHD)-200 dataset as our test bed, we constructed a DVAE-based modeling and classification pipeline in which all subjectsâ€™ functional connectivities estimated by FBNs were taken as input features to train a classifier. Finally, the results achieved by our pipeline reached state-of-the-art classification accuracies on three ADHD-200 sites compared with other fMRI-based methods.",fMRI,Neuroimaging (fMRI),Neuroimaging,Autoencoder; GAN; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 12 pages,Possible,Medium Risk - verify,IEEE Journals,IEEE Transactions on Cognitive and Developmental Systems,11,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Detailed abstract; 12-page paper,10.1109/tcds.2020.3025137,deep variational autoencoder for mapping functional brain networks,False,False
Efficacy of novel Summation-based Synergetic Artificial Neural Network in ADHD diagnosis,2021,10.1016/j.mlwa.2021.100120,"Attention Deficit Hyperactivity Disorder (ADHD) is a critical condition that affects millions of children and often continues into adulthood. In this paper, we propose a dual 3D CNN data integration platform, that we call SSANN, a Summation -based Synergetic Artificial Neural Network, for ADHD diagnosis. The diagnosis problem in our research is simplified into a binary classification problem to detect an ADHD affected or a typical developing child given magnetic resonance imaging scans. Our proposed model has two 3D CNN branches with varying structures: (1) The first branch extracts features from the functional MRI (fMRI) data from the subjects, (2) the second branch extracts features from the structural MRI (sMRI) data of the corresponding subjects. Later, output matrices of both branches are combined with a proposed summation induced process which then is fed into a fully connected neural network and finally produce the binary classification prediction. Our proposed model achieved accuracy of 72.89% on the ADHD-200 dataset, which performs superior than the state-of-the-art approaches on the same evaluation dataset. Our proposed SSANN model can extract useful features from the fMRI and sMRI data, which can also be employed to understand the brain anatomy and its functions in the subjects better, as well as can be used in other machine learning algorithms to design and develop diagnostic tools that certainly has potential to escort ADHD research move forward. Our proposed model offers a robust multi -modal data integration platform that can also be adapted in other medical imaging domains.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,"Children, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Possible,Medium Risk - verify,View Full Record in Web of Science,,11,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Reports 2 metrics; Detailed abstract,10.1016/j.mlwa.2021.100120,efficacy of novel summation-based synergetic artificial neural network in adhd diagnosis,False,False
Noise-Robust and Interpretable EEG Classification of Hyperactive Disorders Using Graph Convolutional Network,2025,10.1109/ACCESS.2025.3626160,"The analysis of EEG data has been widely utilized due to its non-invasive nature. However, the typically noisy characteristics of EEG signals necessitate artifact removal processes. These processes can involve excessive computation or additional devices, significantly compromising the high usability inherent to non-invasive techniques. Although deep learning was expected to overcome these limitations, it still requires artifact removal and thus becomes highly inefficient. Moreover, it suffers from a lack of interpretability due to its closed-box nature. To address these challenges, we propose and validate a framework utilizing Graph Convolutional Network (GCN) and PGExplainer in this study. Specifically, to demonstrate the noise-robustness of our model, we applied it to classify hyperactive disorders such as Tic disorder and Attention deficit hyperactivity disorder (ADHD), which generate excessive noise due to movement. Using EEG data from patients with tics and ADHD, we demonstrated that our model predicts at least 20% higher accuracy than any other neural network models, while the analysis with PGExplainer showed that the same channels were identified as important whether or not noise was removed, indicating noise-robust interpretability of the model. Additionally, this method allowed us to increase computational efficiency, thus identifying a maximally efficient model, i.e., a model that balances accuracy with minimal complexity. The proposed framework is not limited to our case of hyperactive disorder, but is expandable to more general cases. This work demonstrates that GCN-based classification can provide a noise-robust and interpretable solution for EEG analysis.",EEG,EEG Signal,Neurophysiological,CNN/ConvNet; GNN/GCN; Deep Neural Network,Deep Learning,Not reported,Not specified,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,South Korea,,Adequate: 13 pages,Unknown,Not clearly stated,IEEE Journals,IEEE Access,11,Validation described; Journal/indexed source; Reports 2 metrics; Detailed abstract; 13-page paper,10.1109/access.2025.3626160,noise-robust and interpretable eeg classification of hyperactive disorders using graph convolutional network,False,False
Domain Adaptation Method Based on Multi-Scale Brain Network Feature Fusion for Brain Diseases Diagnosis,2025,10.1109/PRMVAI65741.2025.11108666,"Brain networks are essential for human cognition and crucial in diagnosing brain diseases. Traditional single-site methods, limited by small and homogeneous samples, struggle to generalize. In contrast, multi-site methods enhance diagnostic accuracy by integrating diverse data but face domain shifts due to inter-center data differences. To mitigate this issue, domain adaptation approaches strive to diminish the distributional discrepancies between source and target domains. However, they often overlook the complex topological structures in brain networks. This paper proposes a domain adaptation method based on multiscale brain network feature fusion for multi-site brain disease diagnosis. It utilizes graph convolutional networks to extract brain network features at different scales, thereby fully capturing the complex topological structure information. Moreover, it employs adversarial domain adaptation and prototype learning to mitigate domain and semantic shifts, thereby enhancing model generalization. Our approach significantly outperforms conventional domain adaptation methods in experiments conducted on multi-site Attention Deficit Hyperactivity Disorder (ADHD) datasets.",Multimodal,Multimodal,Multimodal,CNN/ConvNet; GNN/GCN; Random Forest,Deep Learning + Machine Learning,Not reported,Not specified,Not specified,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,"2025 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",11,Validation described; Detailed abstract; 6-page paper; Multi-site/external validation,10.1109/prmvai65741.2025.11108666,domain adaptation method based on multi-scale brain network feature fusion for brain diseases diagnosis,False,False
EEG-Based ADHD Diagnosis Using Autoencoder and Reptile Search Algorithm Integrated with Machine Learning,2025,10.1177/15500594251390030,"Attention Deficit Hyperactivity Disorder (ADHD) is a common neurodevelopmental disorder affecting cognitive and behavioral functions, resulting in ongoing inattention, hyperactivity, and impulsivity. Early and accurate diagnosis is essential, but traditional methods mainly depend on questionnaire-based assessments, detailed interviews with individuals and their families, and reviews of medical history. These are then scored using standardized scales like the Conners Rating Scale, Vanderbilt ADHD Diagnostic Parent Rating Scale, and Adult ADHD Self-Report Scale. However, these methods are often subjective, time-consuming, and costly, which limits their usefulness for early diagnosis. The proposed approach seeks to improve ADHD diagnosis by using machine learning techniques applied to electroencephalogram (EEG) data. Two classifiers, Random Forest and AdaBoost, are used to identify complex patterns in EEG data. Feature selection is performed with the Reptile Search Algorithm combined with an autoencoder for feature extraction, which improves data representation and model accuracy. The performance of this approach is evaluated based on accuracy, precision, recall, F1-score, AUC, and statistical significance at a 95% confidence level. Random Forest outperformed AdaBoost, achieving 92.36% in precision, recall, accuracy, and F1-score, while AdaBoost reached 89.78% in these metrics. Random Forest showed better effectiveness than AdaBoost in distinguishing ADHD cases, with an ROC AUC score of 0.93 and higher diagnostic accuracy. The study demonstrates that machine learning offers a promising, objective, and reliable tool for diagnosis, providing effective alternatives to traditional ADHD assessments for timely intervention and improved treatment management. © EEG and Clinical Neuroscience Society (ECNS) 2025",EEG,EEG Signal,Neurophysiological,Autoencoder; Random Forest,Deep Learning + Machine Learning,Not reported,Not specified,Adults,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,11,Validation described; Journal/indexed source; Reports 6 metrics; Detailed abstract,10.1177/15500594251390030,eeg-based adhd diagnosis using autoencoder and reptile search algorithm integrated with machine learning,False,False
Assessment of a Robotic Assistant for Supporting Homework Activities of Children With ADHD,2021,10.1109/ACCESS.2021.3093233,"Robotics, Artificial Intelligence (AI), and the Internet of Things (IoT) support various processes in many scenarios of modern life such as e-health and psychological treatments. This article presents the design, development, implementation, and assessment of a Robotic Assistant (RA), named â€œAtent@â€, as a support tool in the homework activities of children with Attention Deficit Hyperactivity Disorder (ADHD). Interacting with the children the RA helps them correct their bad habits and misbehavior caused by the disorder. Its features and functionalities were designed by therapists, implementing AI algorithms to process information and make decisions in real-time to help children to be focused on their homework. This RA interacts with smart objects deployed at home, which are associated with the activity under observation (desk and chair). This solution allows therapists to receive more accurate information about the homework sessions inside the home. At the same time, remote interaction with the child is made possible (through the RA) to provide new instructions and support him/her along with the sessions. This RA is a significant evolution of an earlier version. All the improvements brought to the project by the modifications in technical and qualitative features are explained. Furthermore, the experiment and its results are presented to illustrate the clinical potential. This project shows that the RA can not only make observations with a high degree of precision like an expert (teacher/therapist) but also positively influences the homework performance of children with and without ADHD.",Clinical Records/EHR,Clinical Data,Clinical,Random Forest,Machine Learning,Not reported,Not specified,Children,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Spain,,Adequate: 16 pages,Unknown,Not clearly stated,IEEE Journals,IEEE Access,11,Validation described; Journal/indexed source; Reports 2 metrics; Detailed abstract; 16-page paper,10.1109/access.2021.3093233,assessment of a robotic assistant for supporting homework activities of children with adhd,False,False
Deep Learning-Based Classification of ADHD: A Study on the ADHD-200 Dataset,2025,10.1109/IDAP68205.2025.11222381,"Attention Deficit Hyperactivity Disorder (ADHD) is one of the most prevalent neurodevelopmental disorders in children and adolescents, characterized by symptoms of inattention, hyperactivity, and impulsivity. Despite the availability of standardized diagnostic criteria, the current diagnostic process heavily relies on subjective behavioral assessments. Recent advances in neuroimaging and machine learning have opened new avenues for the development of data driven ADHD diagnostic tools. A two-stage analysis was conducted using the ADHD-200 dataset. Preliminary experiments were first performed on the NYU subset, followed by comprehensive evaluations on the full dataset. Throughout this process, model accuracy and generalization were significantly improved through techniques such as class weighting, data augmentation, and hyperparameter optimization. Consequently, the optimized 3D CNN model achieved a test accuracy of 78.7 %, demonstrating promising results compared to previous multimodal imaging studies. These results demonstrate that high classification performance can be attained using sMRI data alone and highlight the feasibility of deep learning-based diagnostic systems, even under constraints of limited data and single-modality imaging. Therefore, further research into AI-assisted diagnosis of ADHD and other psychiatric disorders is both necessary and valuable.",sMRI,Neuroimaging (sMRI),Neuroimaging,CNN/ConvNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,"Children, Adolescents",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Adequate: 6 pages,Possible,Medium Risk - verify,IEEE Conferences,2025 9th International Artificial Intelligence and Data Processing Symposium (IDAP),11,Validation described; Uses ADHD-200 dataset; Reports 2 metrics; Detailed abstract; 6-page paper,10.1109/idap68205.2025.11222381,deep learning-based classification of adhd: a study on the adhd-200 dataset,False,False
EEG-Based ADHD Classification Using Autoencoder Feature Extraction and ResNet with Double Augmented Attention Mechanism,2025,10.3390/brainsci15010095,"Background: Attention-Deficit/Hyperactivity Disorder (ADHD) represents a widely prevalent and heterogeneous neurodevelopmental condition in pediatric populations, often exhibiting a substantial propensity to persist into adulthood. ADHD is a multifaceted disorder that resists straightforward diagnostic tests. Clinicians must invest substantial time and effort to secure an accurate diagnosis and implement effective treatment. ADHD diagnosis is primarily based on psychiatric tests, as there is currently no clinically utilized objective diagnostic tool. Nonetheless, several studies in have documented endeavors to create objective instruments designed to assist in the diagnostic process of ADHD, aiming to enhance diagnostic accuracy and reduce subjectivity. Method: This research endeavor sought to establish an objective diagnostic modality for ADHD through the utilization of electroencephalography (EEG) signal analysis. With the use of innovative deep learning techniques, this research seeks to improve the diagnosis of ADHD using EEG data. To capture complex patterns in EEG data, this study proposes a double-augmented attention mechanism ResNet-based model. Using an autoencoder for feature extraction, the Reptile Search Algorithm for feature selection, and a modified ResNet architecture for model training comprise the technique. Results: AUC, F1-score, accuracy, precision, recall, and other standard classifiers like Random Forest and AdaBoost were utilized to compare the model's performance. By a wide margin, the proposed ResNet model outperforms the traditional models with a 99.42% accuracy, 99.03% precision, 99.82% recall, and 99.42% F1-score. Conclusions: ROC AUC score of 0.99 for the model underscores its remarkable capability to differentiate between children with and without ADHD, thereby minimizing misclassification errors and improving diagnostic precision.",EEG,EEG Signal,Neurophysiological,Transformer; Autoencoder; ResNet/VGG/DenseNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,Not specified,"Children, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,11,Validation described; Journal/indexed source; Reports 6 metrics; Detailed abstract,10.3390/brainsci15010095,eeg-based adhd classification using autoencoder feature extraction and resnet with double augmented attention mechanism,False,False
